m11_lb_getdatabyid	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m13_billing_category	InnoDB	0	0.05	2026-01-30 02:26:28	NULL
m13_billing_category_history	InnoDB	0	0.02	2026-01-30 02:26:28	NULL
m13_bl	InnoDB	0	0.03	2026-01-30 02:26:28	NULL
m13_bl_detail	InnoDB	0	0.05	2026-01-30 02:26:28	NULL
m13_bl_detail_billing	InnoDB	0	0.03	2026-01-30 02:26:28	NULL
m13_bl_detail_history	InnoDB	0	0.03	2026-01-30 02:26:28	NULL
m13_bl_history	InnoDB	0	0.02	2026-01-30 02:26:28	NULL
m13_class	InnoDB	0	0.05	2026-01-30 02:26:29	NULL
m13_class_history	InnoDB	0	0.02	2026-01-30 02:26:29	NULL
m13_faculty	InnoDB	0	0.05	2026-01-30 02:26:29	NULL
m13_faculty_history	InnoDB	0	0.05	2026-01-30 02:26:29	NULL
m13_py	InnoDB	0	0.03	2026-01-30 02:26:29	NULL
m13_py_detail	InnoDB	0	0.05	2026-01-30 02:26:29	NULL
m13_py_detail_bayar	InnoDB	0	0.03	2026-01-30 02:26:29	NULL
m13_school_year	InnoDB	0	0.05	2026-01-30 02:26:29	NULL
m13_school_year_history	InnoDB	0	0.05	2026-01-30 02:26:30	NULL
m13_si	InnoDB	0	0.02	2026-01-30 02:26:30	NULL
m13_si_history	InnoDB	0	0.02	2026-01-30 02:26:30	NULL
m13_student_category	InnoDB	0	0.06	2026-01-30 02:26:30	NULL
m13_student_category_billing	InnoDB	0	0.05	2026-01-30 02:26:30	NULL
m13_student_category_billing_history	InnoDB	0	0.02	2026-01-30 02:26:30	NULL
m13_student_category_history	InnoDB	0	0.02	2026-01-30 02:26:30	NULL
m13_student_status	InnoDB	0	0.05	2026-01-30 02:26:30	NULL
m13_student_status_history	InnoDB	0	0.05	2026-01-30 02:26:30	NULL
m13_study_program	InnoDB	0	0.05	2026-01-30 02:26:31	NULL
m13_study_program_history	InnoDB	0	0.02	2026-01-30 02:26:31	NULL
m14_account	InnoDB	0	0.03	2026-01-30 02:26:31	NULL
m14_account_history	InnoDB	0	0.03	2026-01-30 02:26:31	NULL
m14_ang	InnoDB	0	0.02	2026-01-30 02:26:31	NULL
m14_ang_detail	InnoDB	0	0.05	2026-01-30 02:26:31	NULL
m14_ang_detail_bayar	InnoDB	0	0.03	2026-01-30 02:26:31	NULL
m14_collateral	InnoDB	0	0.05	2026-01-30 02:26:31	NULL
m14_collateral_history	InnoDB	0	0.05	2026-01-30 02:26:31	NULL
m14_deposit	InnoDB	0	0.05	2026-01-30 02:26:31	NULL
m14_deposit_history	InnoDB	0	0.05	2026-01-30 02:26:32	NULL
m14_loan	InnoDB	0	0.05	2026-01-30 02:26:32	NULL
m14_loan_history	InnoDB	0	0.05	2026-01-30 02:26:32	NULL
m14_pjm	InnoDB	0	0.03	2026-01-30 02:26:32	NULL
m14_pjm_agunan	InnoDB	0	0.03	2026-01-30 02:26:32	NULL
m14_pjm_angsuran	InnoDB	0	0.02	2026-01-30 02:26:32	NULL
m14_pjm_detail	InnoDB	0	0.05	2026-01-30 02:26:32	NULL
m14_pjm_detail_bayar	InnoDB	0	0.03	2026-01-30 02:26:32	NULL
m14_smp	InnoDB	0	0.03	2026-01-30 02:26:32	NULL
m14_smp_detail	InnoDB	0	0.05	2026-01-30 02:26:33	NULL
m14_smp_detail_bayar	InnoDB	0	0.03	2026-01-30 02:26:33	NULL
m1_accident	InnoDB	0	0.05	2026-01-30 02:26:33	NULL
m1_accident_history	InnoDB	0	0.05	2026-01-30 02:26:33	NULL
m1_area	InnoDB	4	0.05	2026-01-30 02:26:33	NULL
m1_area_history	InnoDB	11	0.05	2026-01-30 02:26:33	NULL
m1_area_terkait	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m1_bank	InnoDB	5	0.05	2026-01-30 02:26:33	NULL
m1_bank_history	InnoDB	9	0.05	2026-01-30 02:26:34	NULL
m1_bank_terkait	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
