m0_usergrupmenu	ugmmenuid	ugmmenu	menu	m0_menu_lang	101	alias_core
m0_usergrupmenu	ugmmenuid	ugmmenu	menu	m0_menu_s	101	alias_core
m0_usergrupmenu	ugmmoduleid	ugmmodule	module	m0_module	104	alias_exact
m0_userlog	uluserid	uluser	user	m0_user	104	alias_exact
m0_userlog	uluserid	uluser	user	users	99	token_match
m0_userlog	uluserid	uluser	user	m0_user_branch	90	token_match
m0_userlogerror	uluserid	uluser	user	m0_user	104	alias_exact
m0_userlogerror	uluserid	uluser	user	users	99	token_match
m0_userlogerror	uluserid	uluser	user	m0_user_branch	90	token_match
m13_bl	blid	bl		m13_bl_detail	112	core_match
m13_bl	blid	bl		m13_bl_detail_history	112	core_match
m13_bl	blid	bl		m13_bl_history	112	core_match
m13_bl_history	blid	bl		m13_bl	118	direct_exact
m13_bl_history	blid	bl		m13_bl_detail	112	core_match
m13_bl_history	blid	bl		m13_bl_detail_history	112	core_match
m13_py	pyid	py		m13_py_detail	112	core_match
m13_si	siid	si		m13_si_history	112	core_match
m13_si_history	siid	si		m13_si	118	direct_exact
m14_ang	angid	ang		m14_ang_detail	112	core_match
m14_ang	angid	ang		m14_ang_detail_bayar	92	token_match
m14_pjm	pjmid	pjm		m14_pjm_detail	112	core_match
m14_pjm	pjmid	pjm		m14_pjm_agunan	92	token_match
m14_pjm	pjmid	pjm		m14_pjm_angsuran	92	token_match
m14_smp	smpid	smp		m14_smp_detail	112	core_match
m14_smp	smpid	smp		m14_smp_detail_bayar	92	token_match
m2_aj	ajid	aj		m2_aj_detail	112	core_match
m2_aj	ajid	aj		m2_aj_detail_history	112	core_match
m2_aj	ajid	aj		m2_aj_history	112	core_match
m2_aj_history	ajid	aj		m2_aj	118	direct_exact
m2_aj_history	ajid	aj		m2_aj_detail	112	core_match
m2_aj_history	ajid	aj		m2_aj_detail_history	112	core_match
m2_bd	bdid	bd		m2_bd_detail	112	core_match
m2_bd	bdid	bd		m2_bd_detail_history	112	core_match
m2_bd	bdid	bd		m2_bd_history	112	core_match
m2_bd_history	bdid	bd		m2_bd	118	direct_exact
m2_bd_history	bdid	bd		m2_bd_detail	112	core_match
m2_bd_history	bdid	bd		m2_bd_detail_history	112	core_match
m2_cb	cbid	cb		m2_cb_detail	112	core_match
m2_cb	cbid	cb		m2_cb_detail_history	112	core_match
m2_cb	cbid	cb		m2_cb_history	112	core_match
m2_cb_history	cbid	cb		m2_cb	118	direct_exact
m2_cb_history	cbid	cb		m2_cb_detail	112	core_match
m2_cb_history	cbid	cb		m2_cb_detail_history	112	core_match
m2_cd	cdid	cd		m2_cd_detail	112	core_match
m2_cd	cdid	cd		m2_cd_detail_history	112	core_match
m2_cd	cdid	cd		m2_cd_history	112	core_match
m2_cd_history	cdid	cd		m2_cd	118	direct_exact
m2_cd_history	cdid	cd		m2_cd_detail	112	core_match
m2_cd_history	cdid	cd		m2_cd_detail_history	112	core_match
m2_cr	crid	cr		m2_cr_detail	112	core_match
m2_cr	crid	cr		m2_cr_detail_history	112	core_match
m2_cr	crid	cr		m2_cr_history	112	core_match
m2_cr_history	crid	cr		m2_cr	118	direct_exact
m2_cr_history	crid	cr		m2_cr_detail	112	core_match
m2_cr_history	crid	cr		m2_cr_detail_history	112	core_match
m2_gj	gjid	gj		m2_gj_detail	112	core_match
m2_gj	gjid	gj		m2_gj_detail_history	112	core_match
m2_gj	gjid	gj		m2_gj_history	112	core_match
m2_gj_history	gjid	gj		m2_gj	118	direct_exact
m2_gj_history	gjid	gj		m2_gj_detail	112	core_match
m2_gj_history	gjid	gj		m2_gj_detail_history	112	core_match
m2_jm	jmid	jm		m2_jm_detail	112	core_match
m2_jm	jmid	jm		m2_jm_detail_history	112	core_match
m2_jm	jmid	jm		m2_jm_history	112	core_match
m2_jm_history	jmid	jm		m2_jm	118	direct_exact
m2_jm_history	jmid	jm		m2_jm_detail	112	core_match
m2_jm_history	jmid	jm		m2_jm_detail_history	112	core_match
m2_rg	rgid	rg		m2_rg_detail	112	core_match
m2_rg	rgid	rg		m2_rg_detail_history	112	core_match
