m2_gj_history	11	8	21	1	ready
m5_as_history	11	10	22	1	ready
m5_dr_detail_history	11	3	31	1	ready
m6_itembom_in	11	3	14	1	ready
m6_pdr	11	9	20	1	ready
m6_pdr_in	11	3	20	1	ready
m1_warehouse	10	2	2	1	ready
m2_cb_detail	10	3	12	1	ready
m3_ib_detail_history	10	3	15	1	ready
m4_pie	10	8	13	1	ready
m5_pl	10	11	24	1	ready
m6_mrn_out_history	10	3	23	1	ready
m1_bank_history	9	5	9	1	ready
m1_tax	9	2	3	0	ready
m3_ib	9	8	13	1	ready
m3_mr	9	9	13	1	ready
m5_dr_history	9	11	27	1	ready
m5_sr_detail_history	9	3	29	1	ready
m5_sr_history	9	14	31	1	ready
versioninfo	9	1	1	0	ready
m1_contact_attention_history	8	4	6	0	ready
m1_contact_point	8	3	8	1	ready
m1_item_type	8	2	2	0	ready
m1_project	8	8	7	0	ready
m1_project_history	8	8	8	0	ready
m2_sg_detail	8	4	11	1	ready
m3_ib_history	8	8	14	1	ready
m3_mr_history	8	9	14	1	ready
m3_rs	8	8	14	1	ready
m4_prt_detail_history	8	3	29	1	ready
m4_prt_history	8	13	32	1	ready
m6_mrn_history	8	9	23	1	ready
m7_da	8	8	13	1	ready
m1_currency	7	2	3	0	ready
m1_location_history	7	2	4	1	ready
m1_oem	7	5	8	1	ready
m2_cb	7	8	20	1	ready
m2_rm_detail_history	7	3	12	1	ready
m2_rm_history	7	8	19	1	ready
m5_pl_detail_history	7	3	26	1	ready
m5_pl_pack_history	7	3	8	1	ready
m5_si_detail_failed	7	3	29	1	ready
m2_rg_detail_history	6	4	13	1	ready
m2_rgc_detail	6	4	12	1	ready
m2_rm_pay	6	1	6	0	ready
m5_si_failed	6	21	53	1	ready
m1_bank	5	5	8	1	ready
m1_city	5	2	2	0	ready
m1_contact_category	5	2	2	0	ready
m1_contact_price_history	5	9	19	1	ready
m1_cost_center	5	2	2	0	ready
m1_expedition	5	2	2	0	ready
m1_files	5	2	1	1	ready
m1_item_supplier_history	5	3	11	1	ready
m1_terms	5	2	8	0	ready
m1_working_estimate	5	5	8	1	ready
m2_rg_detail	5	4	11	1	ready
m2_rgc	5	7	17	1	ready
m2_sg	5	7	16	1	ready
m2_sm_pay	5	1	6	0	ready
m4_rfq	5	10	13	1	ready
m4_rfq_detail	5	3	7	1	ready
m5_pl_history	5	11	25	1	ready
m6_mrn_out	5	3	21	1	ready
m7_asset_category	5	5	8	1	ready
m1_area	4	2	2	0	ready
m1_customer_category	4	2	2	0	ready
m1_location	4	2	3	1	ready
m1_tax_history	4	2	4	0	ready
m2_files	4	2	2	1	ready
m2_rg	4	7	16	1	ready
m2_rm_pay_history	4	1	8	0	ready
m3_pa	4	9	13	1	ready
m6_mrn	4	9	22	1	ready
m0_app	3	1	1	0	ready
m1_branch	3	2	2	0	ready
m1_country	3	2	2	0	ready
m1_item_category_history	3	5	9	1	ready
m1_item_supplier	3	3	9	1	ready
m1_other_cost_history	3	5	10	1	ready
m2_rg_history	3	7	17	1	ready
m2_sgc_detail_history	3	4	14	1	ready
m2_sgc_history	3	7	18	1	ready
m2_sm_pay_history	3	1	8	0	ready
m4_rfq_detail_history	3	3	9	1	ready
m5_sie_detail	3	3	7	1	ready
m7_asset	3	11	32	1	ready
m1_expedition_history	2	2	3	0	ready
m1_item_permission	2	5	8	1	ready
m1_price_category	2	5	8	1	ready
m1_production_category	2	5	8	1	ready
m1_production_category_history	2	5	9	1	ready
m1_province	2	2	2	0	ready
m1_province_history	2	2	3	0	ready
m1_size_history	2	5	9	1	ready
m1_subdivision	2	5	8	1	ready
m1_transaction_note	2	2	2	0	ready
m1_vendor	2	5	8	1	ready
m2_cb_pay	2	1	6	0	ready
m2_sg_detail_history	2	4	13	1	ready
m2_sg_history	2	7	17	1	ready
m2_sgc	2	7	17	1	ready
m2_sgc_detail	2	4	12	1	ready
m3_rs_detail_history	2	3	14	1	ready
m3_rs_history	2	8	15	1	ready
m4_pie_detail_history	2	3	9	1	ready
m4_pie_history	2	8	14	1	ready
m4_rfq_history	2	10	14	1	ready
m5_sie	2	8	13	1	ready
m7_asset_history	2	11	33	1	ready
m_12_pos_category	2	5	8	1	ready
m_12_pos_type	2	5	8	1	ready
ak_tmp	0	27	55	1	ready
dataauditlog	0	1	2	1	ready
exceptions	0	2	4	1	ready
lb_tmp	0	26	51	1	ready
lu_tmp	0	26	51	1	ready
m0_backup	0	2	2	0	ready
m0_config	0	2	29	1	ready
m0_hppsaldo	0	12	27	1	ready
m0_msmq_importdata	0	2	3	0	ready
m0_si	0	21	53	1	ready
m0_si_detail	0	3	29	1	ready
m0_si_pay	0	1	6	0	ready
m0_table_relation_status	0	1	2	0	ready
m0_userlogerror	0	1	3	0	ready
m0_validitas_data	0	1	3	0	ready
m13_billing_category	0	27	52	1	ready
m13_billing_category_history	0	27	53	1	ready
m13_bl	0	29	56	1	ready
m13_bl_detail	0	20	25	1	ready
m13_bl_detail_billing	0	1	4	0	ready
m13_bl_detail_history	0	20	27	1	ready
m13_bl_history	0	29	57	1	ready
m13_class	0	27	52	1	ready
m13_class_history	0	27	53	1	ready
m13_faculty	0	27	52	1	ready
m13_faculty_history	0	27	53	1	ready
m13_py	0	29	56	1	ready
m13_py_detail	0	21	29	1	ready
m13_school_year	0	27	52	1	ready
m13_school_year_history	0	27	53	1	ready
m13_si	0	29	56	1	ready
m13_si_history	0	29	57	1	ready
m13_student_category	0	27	53	1	ready
m13_student_category_billing	0	27	55	1	ready
m13_student_category_billing_history	0	27	56	1	ready
m13_student_category_history	0	27	54	1	ready
m13_student_status	0	27	52	1	ready
m13_student_status_history	0	27	53	1	ready
m13_study_program	0	27	52	1	ready
m13_study_program_history	0	27	53	1	ready
m14_account	0	27	52	1	ready
m14_account_history	0	27	53	1	ready
m14_ang	0	29	56	1	ready
m14_ang_detail	0	21	30	1	ready
m14_collateral	0	27	53	1	ready
m14_collateral_history	0	27	54	1	ready
m14_deposit	0	27	54	1	ready
m14_deposit_history	0	27	55	1	ready
m14_loan	0	27	58	1	ready
m14_loan_history	0	27	59	1	ready
m14_pjm	0	29	56	1	ready
m14_pjm_angsuran	0	1	6	0	ready
m14_pjm_detail	0	20	34	1	ready
m14_smp	0	29	55	1	ready
m14_smp_detail	0	20	26	1	ready
m1_accident	0	2	2	0	ready
m1_accident_history	0	2	3	0	ready
m1_bed	0	2	2	0	ready
m1_bed_history	0	2	3	0	ready
m1_checking_category	0	2	4	0	ready
m1_checking_category_history	0	2	5	0	ready
m1_city_history	0	2	3	0	ready
m1_class	0	5	8	1	ready
m1_class_history	0	5	9	1	ready
m1_class_product	0	5	8	1	ready
m1_class_product_history	0	5	9	1	ready
m1_colleague	0	2	3	0	ready
m1_color	0	5	8	1	ready
m1_color_history	0	5	9	1	ready
m1_commission	0	5	8	1	ready
m1_commission_detail	0	3	12	1	ready
m1_commission_detail_history	0	3	14	1	ready
m1_commission_history	0	5	9	1	ready
m1_contact_category_history	0	2	3	0	ready
m1_contact_comment	0	3	4	1	ready
m1_contact_comment_history	0	3	5	1	ready
m1_contact_commission	0	2	3	0	ready
m1_contact_copy	0	9	21	1	ready
m1_contact_files	0	2	4	1	ready
m1_contact_price	0	9	17	1	ready
m1_contact_price_copy	0	9	17	1	ready
m1_cost_center_history	0	2	3	0	ready
m1_country_history	0	2	3	0	ready
m1_customer_category_history	0	2	3	0	ready
m1_department	0	5	8	1	ready
m1_department_history	0	5	9	1	ready
m1_designer	0	5	8	1	ready
m1_designer_history	0	5	9	1	ready
m1_diagnosis	0	2	2	0	ready
m1_division_history	0	5	9	1	ready
m1_files_copy	0	2	1	1	ready
m1_icd	0	2	3	0	ready
m1_icd_history	0	2	4	0	ready
m1_index_price	0	5	9	1	ready
m1_index_price_history	0	5	10	1	ready
m1_insurer	0	2	3	0	ready
m1_item2	0	4	44	0	ready
m1_item_assembly	0	2	6	0	ready
m1_item_assembly_history	0	2	8	0	ready
m1_item_c	0	4	44	0	ready
m1_item_copy1	0	4	43	0	ready
m1_item_copy2	0	4	43	0	ready
m1_item_description	0	2	4	0	ready
m1_item_flex	0	4	43	0	ready
m1_item_hauling	0	9	42	1	ready
m1_item_hauling_history	0	9	43	1	ready
m1_item_location_history	0	2	4	0	ready
m1_item_permission_history	0	5	9	1	ready
m1_item_price	0	7	15	1	ready
m1_item_price_history	0	7	17	1	ready
m1_item_stock_warehouse_log	0	1	5	0	ready
m1_item_type_history	0	2	3	0	ready
m1_lab_result	0	2	3	0	ready
m1_labour_cost	0	2	4	0	ready
m1_layanan	0	2	2	0	ready
m1_machine	0	3	9	0	ready
m1_machine_history	0	3	10	0	ready
m1_material	0	5	8	1	ready
m1_material_history	0	5	9	1	ready
m1_merk	0	5	8	1	ready
m1_merk_history	0	5	9	1	ready
m1_model	0	5	8	1	ready
m1_model_history	0	5	9	1	ready
m1_no_batch_in_old	0	4	9	1	ready
m1_no_serial_in_copy	0	4	9	1	ready
m1_no_serial_in_old	0	4	9	1	ready
m1_no_serial_out_copy	0	1	5	0	ready
m1_notes	0	2	3	0	ready
m1_oem_history	0	5	9	1	ready
m1_other	0	2	2	0	ready
m1_other_cost	0	5	9	1	ready
m1_other_history	0	2	3	0	ready
m1_patient	0	3	6	0	ready
m1_patient_category	0	2	2	0	ready
m1_price_category_detail	0	3	22	1	ready
m1_price_category_history	0	5	9	1	ready
m1_production_activity	0	5	9	1	ready
m1_production_activity_detail	0	3	16	1	ready
m1_production_activity_detail_history	0	3	18	1	ready
m1_production_activity_history	0	5	10	1	ready
m1_production_route	0	5	9	1	ready
m1_production_route_detail	0	3	7	1	ready
m1_reference	0	2	3	0	ready
m1_region	0	2	2	0	ready
m1_region_history	0	2	3	0	ready
m1_room	0	7	19	1	ready
m1_room_history	0	7	19	1	ready
m1_salesman_category	0	2	2	0	ready
m1_salesman_category_history	0	2	3	0	ready
m1_section	0	5	8	1	ready
m1_section_history	0	5	9	1	ready
m1_selling_point	0	2	5	0	ready
m1_selling_point_history	0	2	6	0	ready
m1_size	0	5	8	1	ready
m1_subclass	0	5	8	1	ready
m1_subclass_history	0	5	9	1	ready
m1_subdepartment	0	5	8	1	ready
m1_subdepartment_history	0	5	9	1	ready
m1_subdistrict	0	2	2	0	ready
m1_subdivision_history	0	5	9	1	ready
m1_supplier_category	0	2	2	0	ready
m1_supplier_category_history	0	2	3	0	ready
m1_transaction_note_detail	0	2	2	0	ready
m1_transaction_note_detail_history	0	2	3	0	ready
m1_transaction_note_history	0	2	3	0	ready
m1_trm	0	2	2	0	ready
m1_type_sa	0	2	2	0	ready
m1_type_sa_history	0	2	3	0	ready
m1_unit_history	0	2	4	0	ready
m1_upline	0	2	2	0	ready
m1_vendor_history	0	5	9	1	ready
m1_village	0	2	2	0	ready
m1_warehouse_history	0	2	3	1	ready
m1_working_estimate_history	0	5	9	1	ready
m2_aj	0	8	20	1	ready
m2_aj_detail	0	3	12	1	ready
m2_aj_detail_history	0	3	14	1	ready
m2_aj_history	0	8	21	1	ready
m2_bd	0	8	15	1	ready
m2_bd_detail	0	3	10	1	ready
m2_bd_detail_history	0	3	12	1	ready
m2_bd_history	0	8	16	1	ready
m2_jm	0	8	19	1	ready
m2_jm_detail	0	3	13	1	ready
m2_jm_detail_history	0	3	15	1	ready
m2_jm_history	0	8	20	1	ready
m2_notes	0	2	4	0	ready
m2_pengajuan_dana	0	7	13	0	ready
m2_print	0	1	4	0	ready
m2_rm_historyjson	0	1	1	0	ready
m2_template	0	6	13	0	ready
m2_transaction_journal_history	0	6	18	0	ready
m2r_analisa_penyusutan	0	6	22	1	ready
m2r_anggaran	0	5	20	1	ready
m2r_ap_card	0	9	19	1	ready
m2r_ap_card_detail	0	9	19	1	ready
m2r_ap_voucher	0	9	18	1	ready
m2r_ap_voucher_aging	0	9	30	1	ready
m2r_ap_voucher_aging_detail	0	9	30	1	ready
m2r_ap_voucher_detail	0	9	18	1	ready
m2r_appostage_card	0	9	19	1	ready
m2r_appostage_voucher	0	9	18	1	ready
m2r_ar_card	0	9	19	1	ready
m2r_ar_card_detail	0	9	19	1	ready
m2r_ar_voucher	0	9	18	1	ready
m2r_ar_voucher_aging	0	9	30	1	ready
m2r_ar_voucher_aging_detail	0	9	30	1	ready
m2r_ar_voucher_detail	0	9	18	1	ready
m2r_arpostage_card	0	9	19	1	ready
m2r_arpostage_voucher	0	9	18	1	ready
m2r_aruskas	0	5	21	1	ready
m2r_barang_dibawah_margin	0	5	14	1	ready
m2r_barcode	0	1	3	0	ready
m2r_batch_pertanggal	0	6	15	1	ready
m2r_bb_divisi	0	1	17	0	ready
m2r_bp_card	0	9	19	1	ready
m2r_bukubesar_akunlawan	0	9	24	1	ready
m2r_cekfifo	0	3	11	0	ready
m2r_customer_point	0	6	19	1	ready
m2r_general_ledger	0	7	18	1	ready
m2r_general_ledger_detail	0	9	19	1	ready
m2r_giro_voucher	0	11	21	1	ready
m2r_giro_voucher_aging	0	11	33	1	ready
m2r_hpp_produksi	0	5	19	1	ready
m2r_inventory_aging	0	8	32	1	ready
m2r_ip_card	0	9	19	1	ready
m2r_ip_list	0	9	24	1	ready
m2r_ip_voucher	0	9	18	1	ready
m2r_item_stock_global	0	1	3	0	ready
m2r_kartu_stok	0	8	27	1	ready
m2r_kasbank_harian	0	9	24	1	ready
m2r_komisi_abd	0	1	3	0	ready
m2r_komisi_limo	0	8	38	1	ready
m2r_laba_pertahun	0	5	62	1	ready
m2r_laporan_harian	0	5	19	1	ready
m2r_laporan_penjualan	0	1	21	0	ready
m2r_lr_invoice_detail	0	6	16	1	ready
m2r_lr_invoice_global	0	6	14	1	ready
m2r_lr_per_hari	0	1	3	0	ready
m2r_mutasi_keuangan	0	5	14	1	ready
m2r_mutasi_stok	0	7	18	1	ready
m2r_mutasi_stok_batch	0	3	9	1	ready
m2r_mutasi_stok_detail	0	7	18	1	ready
m2r_mutasi_stok_sumber	0	7	37	1	ready
m2r_neraca_mutasi	0	5	17	1	ready
m2r_neraca_mutasi_detail	0	5	17	1	ready
m2r_omzet_tagihan	0	1	41	0	ready
m2r_penjualan	0	1	12	0	ready
m2r_penjualan_barang_pertgl	0	6	20	1	ready
m2r_penjualan_per4bulan	0	1	20	0	ready
m2r_penjualan_perhari_1	0	1	8	0	ready
m2r_penjualan_perhari_2	0	1	5	0	ready
m2r_perhitungan_insentive	0	2	2	1	ready
m2r_perincian_biaya	0	5	29	1	ready
m2r_persediaan	0	5	15	1	ready
m2r_persediaan_detail	0	7	20	1	ready
m2r_posisi_keuangan	0	5	26	1	ready
m2r_posisi_keuangan_detail	0	5	26	1	ready
m2r_posisi_keuangan_pertahun	0	5	38	1	ready
m2r_posisi_keuangan_t	0	10	51	1	ready
m2r_posisi_keuangan_t_detail	0	10	51	1	ready
m2r_posisi_keuangan_tahun	0	5	56	1	ready
m2r_produksi_vs_penjualan	0	5	26	1	ready
m2r_rekap_barang_konsinyasi	0	6	27	1	ready
m2r_saldoawal_hutang	0	1	10	0	ready
m2r_salesman_point	0	6	20	1	ready
m2r_stok_coverday	0	5	25	1	ready
m2r_stok_covermonth	0	5	17	1	ready
m2r_stok_coverweek	0	5	23	1	ready
m2r_stok_opname	0	1	8	0	ready
m2r_umpembelian_card	0	9	19	1	ready
m2r_umpembelian_voucher	0	9	18	1	ready
m2r_umpenjualan_card	0	9	19	1	ready
m2r_umpenjualan_voucher	0	9	18	1	ready
m3_dc	0	9	18	1	ready
m3_dc_check	0	3	8	1	ready
m3_dc_check_history	0	3	10	1	ready
m3_dc_detail	0	3	7	1	ready
m3_dc_detail_history	0	3	9	1	ready
