m0_report	rmenuid	bigint	bigint	1192	medium	sum,count,avg
m0_report	ritem	int	int	1192	medium	sum,count,avg
m0_report	rquery	int	int	1192	medium	sum,count,avg
m0_report	raktif	int	int	1192	medium	sum,count,avg
m0_report	rurutan	int	int	1192	medium	sum,count,avg
m0_role_report	rrmoduleid	bigint	bigint	1163	medium	sum,count,avg
m0_role_report	rrmenuid	bigint	bigint	1163	medium	sum,count,avg
m0_role_report	rritem	int	int	1163	medium	sum,count,avg
m2_realization	rtahun	int	int	1094	medium	sum,count,avg
m2_realization	rjmldebit	double	double	1094	medium	avg
m2_realization	rjmlkredit	double	double	1094	medium	avg
m2_realization	ranggaran	double	double	1094	medium	avg
m2_realization	rkodepa	bigint	bigint	1094	medium	sum,count,avg
m_12_pos_item	piidbarang	bigint	bigint	1094	medium	sum,count,avg
m_12_pos_item	pistokminimal	double	double	1094	medium	avg
m_12_pos_item	pistokmaksimal	double	double	1094	medium	avg
m_12_pos_item	pistokreorder	double	double	1094	medium	avg
m_12_pos_item	pistokminorder	double	double	1094	medium	avg
m_12_pos_item	pihargajual1	double	double	1094	medium	avg
m_12_pos_item	pihargajual2	double	double	1094	medium	avg
m_12_pos_item	pihargajual3	double	double	1094	medium	avg
m_12_pos_item	pihargajual4	double	double	1094	medium	avg
m_12_pos_item	pihargajual5	double	double	1094	medium	avg
m_12_pos_item	picustomint1	int	int	1094	medium	sum,count,avg
m_12_pos_item	picustomint2	int	int	1094	medium	sum,count,avg
m_12_pos_item	picustomint3	int	int	1094	medium	sum,count,avg
m_12_pos_item	picustomdbl1	double	double	1094	medium	avg
m_12_pos_item	picustomdbl2	double	double	1094	medium	avg
m_12_pos_item	picustomdbl3	double	double	1094	medium	avg
m_12_pos_item	pidownloaded	int	int	1094	medium	sum,count,avg
m_12_pos_item	pihargaedited	int	int	1094	medium	sum,count,avg
m2r_hppglobalsk	id	double	double	1077	medium	avg
m2r_hppglobalsk	jml	double	double	1077	medium	avg
m2r_hppglobalsk	hpp	double	double	1077	medium	avg
m2r_hppglobalsk	nilai	double	double	1077	medium	avg
m0_report_copy	rid	bigint	bigint	1069	medium	sum,count,avg
m0_report_copy	rmoduleid	bigint	bigint	1069	medium	sum,count,avg
m0_report_copy	rmenuid	bigint	bigint	1069	medium	sum,count,avg
m0_report_copy	ritem	int	int	1069	medium	sum,count,avg
m0_report_copy	rquery	int	int	1069	medium	sum,count,avg
m0_report_copy	raktif	int	int	1069	medium	sum,count,avg
m0_report_copy	rurutan	int	int	1069	medium	sum,count,avg
m2r_hppglobalsa	id	double	double	1063	medium	avg
m2r_hppglobalsa	jml	double	double	1063	medium	avg
m2r_hppglobalsa	hpp	double	double	1063	medium	avg
m2r_hppglobalsa	nilai	double	double	1063	medium	avg
