m0_translate	m0	1370	0	1	0
m0_setting_lang	m0	269	0	1	0
m0_language_detail	m0	165	0	1	0
m0_hapusdata	m0	49	0	1	0
m0_user_role	m0	30	0	1	0
m0_user_role_s	m0	30	0	1	0
m0_userlog_category	m0	19	0	1	0
m0_barcode_next	m0	17	0	1	0
m0_status	m0	15	0	1	0
m0_payment_method	m0	10	0	1	0
m0_realization_category	m0	7	0	1	0
m0_selling_rate	m0	5	0	1	0
m0_status_rq	m0	5	0	1	0
m0_status_giro	m0	4	0	1	0
m0_app	m0	3	0	1	0
m0_status_progress	m0	3	0	1	0
m0_jenismutasi	m0	2	0	1	0
m0_user_branch	m0	0	0	1	0
m0_user_coa	m0	0	0	1	0
m0_user_location	m0	0	0	1	0
m0_user_warehouse	m0	0	0	1	0
m0_usergrup	m0	0	0	1	0
m0_table_relation	m0	93	0	0	0
m0_report_temp	m0	78	0	0	0
m0_search_packet	m0	68	0	0	0
m0_validitas_data_category	m0	19	0	0	0
m0_role	m0	13	0	0	0
m0_role_s	m0	12	0	0	0
m0_language	m0	2	0	0	0
m0_dummy	m0	0	0	0	0
m0_nomor_tmp	m0	0	0	0	0
m0_role_item_category	m0	0	0	0	0
m0_versi_db	m0	0	0	0	0
m1_item_history	m1	150	0	45	2
m1_item	m1	2279	0	44	2
m1_item2	m1	0	0	44	2
m1_item_c	m1	0	0	44	2
m1_item_copy1	m1	0	0	43	2
m1_item_copy2	m1	0	0	43	2
m1_item_flex	m1	0	0	43	2
m1_item_hauling_history	m1	0	0	43	2
m1_item_hauling	m1	0	0	42	2
m1_item_transaction_history	m1	207	0	39	0
m1_item_transaction	m1	730	0	38	0
m1_salesman_commission	m1	25	0	31	0
m1_coa_history	m1	14	0	30	0
m1_coa	m1	409	0	29	0
m1_coa_copy1	m1	246	0	29	0
m1_contact_history	m1	41	0	22	2
m1_price_category_detail	m1	0	0	22	0
m1_contact	m1	23	0	21	2
m1_contact_copy	m1	0	0	21	2
m1_contact_price_history	m1	5	0	19	0
m1_room	m1	0	0	19	0
m1_room_history	m1	0	0	19	0
m1_production_activity_detail_history	m1	0	0	18	0
m1_contact_price	m1	0	0	17	0
m1_contact_price_copy	m1	0	0	17	0
m1_item_price_history	m1	0	0	17	0
m1_production_activity_detail	m1	0	0	16	0
m1_item_price	m1	0	0	15	0
m1_commission_detail_history	m1	0	0	14	0
m1_commission_detail	m1	0	0	12	0
m1_item_supplier_history	m1	5	0	11	0
m1_no_serial_transaction_history	m1	458	0	10	0
m1_no_batch_transaction_history	m1	113	0	10	0
m1_other_cost_history	m1	3	0	10	0
m1_index_price_history	m1	0	0	10	0
m1_machine_history	m1	0	0	10	0
m1_production_activity_history	m1	0	0	10	0
m1_no_serial_in	m1	613	0	9	0
m1_no_batch_in	m1	153	0	9	0
m1_terms_history	m1	14	0	9	0
m1_bank_history	m1	9	0	9	0
m1_item_category_history	m1	3	0	9	0
m1_item_supplier	m1	3	0	9	0
m1_production_category_history	m1	2	0	9	0
m1_size_history	m1	2	0	9	0
m1_class_history	m1	0	0	9	0
m1_class_product_history	m1	0	0	9	0
m1_color_history	m1	0	0	9	0
m1_commission_history	m1	0	0	9	0
m1_department_history	m1	0	0	9	0
m1_designer_history	m1	0	0	9	0
m1_division_history	m1	0	0	9	0
m1_index_price	m1	0	0	9	0
m1_item_permission_history	m1	0	0	9	0
m1_machine	m1	0	0	9	0
m1_material_history	m1	0	0	9	0
m1_merk_history	m1	0	0	9	0
m1_model_history	m1	0	0	9	0
m1_no_batch_in_old	m1	0	0	9	0
m1_no_serial_in_copy	m1	0	0	9	0
m1_no_serial_in_old	m1	0	0	9	0
m1_oem_history	m1	0	0	9	0
m1_other_cost	m1	0	0	9	0
m1_price_category_history	m1	0	0	9	0
m1_production_activity	m1	0	0	9	0
m1_production_route	m1	0	0	9	0
m1_section_history	m1	0	0	9	0
m1_subclass_history	m1	0	0	9	0
m1_subdepartment_history	m1	0	0	9	0
