m2_gj_history	gjstatussebelumnya	tinyint	tinyint	NO	status
m2_jm	jmstatusbayar	tinyint	tinyint	NO	status
m2_jm	jmstatus	tinyint	tinyint	NO	status
m2_jm	jmstatussebelumnya	tinyint	tinyint	NO	status
m2_jm_history	jmstatusbayar	tinyint	tinyint	NO	status
m2_jm_history	jmstatus	tinyint	tinyint	NO	status
m2_jm_history	jmstatussebelumnya	tinyint	tinyint	NO	status
m2_pengajuan_dana	tstatusrealisasi	tinyint	tinyint	NO	status
m2_pengajuan_dana	tstatus	tinyint	tinyint	NO	status
m2_rg	rgstatusrgc	tinyint	tinyint	NO	status
m2_rg	rgstatus	tinyint	tinyint	NO	status
m2_rg	rgstatussebelumnya	tinyint	tinyint	NO	status
m2_rg_detail	statusgiro	tinyint	tinyint	NO	status
m2_rg_detail	statusrgc	tinyint	tinyint	NO	status
m2_rg_detail_history	statusgiro	tinyint	tinyint	NO	status
m2_rg_detail_history	statusrgc	tinyint	tinyint	NO	status
m2_rg_history	rgstatusrgc	tinyint	tinyint	NO	status
m2_rg_history	rgstatus	tinyint	tinyint	NO	status
m2_rg_history	rgstatussebelumnya	tinyint	tinyint	NO	status
m2_rgc	rgcstatus	tinyint	tinyint	NO	status
m2_rgc	rgcstatussebelumnya	tinyint	tinyint	NO	status
m2_rgc_detail	statusgiro	tinyint	tinyint	NO	status
m2_rgc_detail_history	statusgiro	tinyint	tinyint	NO	status
m2_rgc_history	rgcstatus	tinyint	tinyint	NO	status
m2_rgc_history	rgcstatussebelumnya	tinyint	tinyint	NO	status
m2_rm	rmstatusbayar	tinyint	tinyint	NO	status
m2_rm	rmstatus	tinyint	tinyint	NO	status
m2_rm	rmstatussebelumnya	tinyint	tinyint	NO	status
m2_rm_history	rmstatusbayar	tinyint	tinyint	NO	status
m2_rm_history	rmstatus	tinyint	tinyint	NO	status
m2_rm_history	rmstatussebelumnya	tinyint	tinyint	NO	status
m2_sg	sgstatussgc	tinyint	tinyint	NO	status
m2_sg	sgstatus	tinyint	tinyint	NO	status
m2_sg	sgstatussebelumnya	tinyint	tinyint	NO	status
m2_sg_detail	statusgiro	tinyint	tinyint	NO	status
m2_sg_detail	statussgc	tinyint	tinyint	NO	status
m2_sg_detail_history	statusgiro	tinyint	tinyint	NO	status
m2_sg_detail_history	statussgc	tinyint	tinyint	NO	status
m2_sg_history	sgstatussgc	tinyint	tinyint	NO	status
m2_sg_history	sgstatus	tinyint	tinyint	NO	status
m2_sg_history	sgstatussebelumnya	tinyint	tinyint	NO	status
m2_sgc	sgcstatus	tinyint	tinyint	NO	status
m2_sgc	sgcstatussebelumnya	tinyint	tinyint	NO	status
m2_sgc_detail	statusgiro	tinyint	tinyint	NO	status
m2_sgc_detail_history	statusgiro	tinyint	tinyint	NO	status
m2_sgc_history	sgcstatus	tinyint	tinyint	NO	status
m2_sgc_history	sgcstatussebelumnya	tinyint	tinyint	NO	status
m2_sm	smstatusbayar	tinyint	tinyint	NO	status
m2_sm	smstatus	tinyint	tinyint	NO	status
m2_sm	smstatussebelumnya	tinyint	tinyint	NO	status
m2_sm_history	smstatusbayar	tinyint	tinyint	NO	status
m2_sm_history	smstatus	tinyint	tinyint	NO	status
m2_sm_history	smstatussebelumnya	tinyint	tinyint	NO	status
m2_template	tstatusrealisasi	tinyint	tinyint	NO	status
m2_template	tstatus	tinyint	tinyint	NO	status
m2_transaction_journal	tstatuslunas	tinyint	tinyint	NO	status
m2_transaction_journal	tstatusrealisasi	tinyint	tinyint	NO	status
m2_transaction_journal	tstatus	tinyint	tinyint	NO	status
m2_transaction_journal_history	tstatuslunas	int	int	NO	status
m2_transaction_journal_history	tstatusrealisasi	tinyint	tinyint	NO	status
m2_transaction_journal_history	tstatus	tinyint	tinyint	NO	status
m2r_ap_card	apstatuslunas	tinyint	tinyint	NO	status
m2r_ap_card_detail	apstatuslunas	tinyint	tinyint	NO	status
m2r_ap_voucher	apstatuslunas	tinyint	tinyint	NO	status
m2r_ap_voucher_aging	apstatuslunas	tinyint	tinyint	NO	status
m2r_ap_voucher_aging_detail	apstatuslunas	tinyint	tinyint	NO	status
m2r_ap_voucher_detail	apstatuslunas	tinyint	tinyint	NO	status
